0.81,0.868912,0.603593,0.643457,0.637834,3.17569,-0.367951
0.82,0.875273,0.609952,0.628718,0.633951,3.09845,-0.404413
0.83,0.881486,0.616272,0.613873,0.630027,3.02263,-0.440347
0.84,0.88755,0.622552,0.598925,0.626063,2.94827,-0.475742
0.85,0.893464,0.628793,0.583875,0.622058,2.87539,-0.510585
0.86,0.899227,0.634993,0.568726,0.618014,2.80401,-0.544868
0.87,0.904838,0.641153,0.553482,0.61393,2.73417,-0.578578
0.88,0.910297,0.647272,0.538144,0.609807,2.66589,-0.611707
0.89,0.915601,0.653349,0.522715,0.605645,2.59919,-0.644244
0.9,0.920751,0.659385,0.507197,0.601445,2.5341,-0.676182
0.91,0.925745,0.665378,0.491594,0.597205,2.47064,-0.707511
0.92,0.930582,0.671329,0.475908,0.592928,2.40883,-0.738224
0.93,0.935263,0.677236,0.460141,0.588612,2.34869,-0.768314
0.94,0.939785,0.683101,0.444297,0.584259,2.29024,-0.797772
0.95,0.944148,0.688921,0.428377,0.579869,2.23349,-0.826594
0.96,0.948352,0.694698,0.412386,0.575441,2.17847,-0.854772
0.97,0.952396,0.70043,0.396324,0.570977,2.12518,-0.882301
0.98,0.956278,0.706117,0.380196,0.566476,2.07365,-0.909176
0.99,0.959999,0.71176,0.364003,0.561939,2.02389,-0.935391
1,0.963558,0.717356,0.347748,0.557365,1.47591,-1.46094
1.01,0.966954,0.722907,0.331435,0.552757,1.42972,-1.48582
1.02,0.970187,0.728411,0.315066,0.548112,1.38533,-1.51003
1.03,0.973255,0.733869,0.298644,0.543433,1.34276,-1.53357
1.04,0.976159,0.73928,0.282171,0.538719,1.30202,-1.55643
1.05,0.978899,0.744643,0.265651,0.53397,1.26311,-1.5786
1.06,0.981472,0.749959,0.249085,0.529188,1.22604,-1.60009
1.07,0.98388,0.755227,0.232478,0.524371,1.19082,-1.62089
1.08,0.986122,0.760446,0.215831,0.519521,1.15745,-1.64101
1.09,0.988197,0.765617,0.199148,0.514637,1.12594,-1.66043
1.1,0.990105,0.770739,0.182431,0.509721,1.0963,-1.67916
1.11,0.991845,0.775811,0.165683,0.504772,1.06852,-1.6972
1.12,0.993418,0.780834,0.148908,0.499791,1.04262,-1.71454
1.13,0.994823,0.785807,0.132107,0.494777,1.01859,-1.73119
1.14,0.99606,0.79073,0.115284,0.489732,0.996432,-1.74715
1.15,0.997129,0.795602,0.0984409,0.484656,0.976156,-1.7624
1.16,0.998029,0.800423,0.0815816,0.479549,0.957756,-1.77696
1.17,0.99876,0.805192,0.0647085,0.474411,0.941234,-1.79083
1.18,0.999323,0.809911,0.0478244,0.469242,0.926589,-1.804
1.19,0.999717,0.814577,0.0309323,0.464044,0.913818,-1.81647
1.2,0.999942,0.819192,0.014035,0.458816,0.902921,-1.82825
1.21,0.999998,0.823753,-0.00286477,0.453559,0.893894,-1.83933
1.22,0.999884,0.828263,-0.019764,0.448272,0.886733,-1.84972
1.23,0.999602,0.832719,-0.0366599,0.442957,0.881436,-1.85941
1.24,0.999151,0.837122,-0.0535496,0.437613,0.877997,-1.86841
1.25,0.998531,0.841471,-0.0704303,0.432242,0.876412,-1.87672
1.26,0.997743,0.845766,-0.087299,0.426843,0.876675,-1.88434
1.27,0.996785,0.850008,-0.104153,0.421416,0.87878,-1.89127
1.28,0.99566,0.854195,-0.120989,0.415963,0.88272,-1.89752
1.29,0.994366,0.858327,-0.137805,0.410483,0.888488,-1.90308
