4340.3490,0.0037,-1.5679,-0.0109,-1.5749,-0.0097,-0.0031,0.0538,0.0361,-0.1428,-0.0619,-0.1347,-0.0457,1.7622,0.8410,-1.0695,-0.3523,-0.4627,-0.2818,1.8190,1.2349,-1.2698,-0.3425,-0.4015,-0.3054,3.8397,-2.0744,-4.3465,-0.5283,-0.7513,-0.2565
4340.3590,0.0043,-1.5675,-0.0124,-1.5755,-0.0112,-0.0036,0.0586,0.0397,-0.1534,-0.0682,-0.1511,-0.0500,1.8921,0.6814,-1.1364,-0.3236,-0.4176,-0.2501,1.5913,1.3764,-0.9259,-0.3056,-0.3538,-0.2891,1.0024,-0.4451,-0.8388,-0.1112,-0.2055,-0.0670
4340.3690,0.0049,-1.5671,-0.0138,-1.5762,-0.0127,-0.0041,0.0595,0.0413,-0.1513,-0.0638,-0.1491,-0.0458,1.4923,0.4712,-1.0061,-0.3227,-0.4278,-0.2656,1.5076,1.4251,-0.7968,-0.2916,-0.3360,-0.2828,0.0001,0.1383,0.4318,0.0392,-0.0137,0.0000
4340.3810,0.0056,-1.5667,-0.0158,-1.5770,-0.0145,-0.0046,0.0617,0.0357,-0.1629,-0.0704,-0.1625,-0.0508,1.9080,0.8622,-1.0386,-0.3639,-0.4521,-0.3183,1.9385,1.2044,-1.2457,-0.3535,-0.4151,-0.3099,5.0436,-2.5475,-3.8992,-0.6065,-0.8373,-0.2799
4340.3910,0.0063,-1.5663,-0.0174,-1.5777,-0.0162,-0.0052,0.0711,0.0382,-0.1753,-0.0766,-0.1759,-0.0551,1.6997,1.0526,-1.1168,-0.3542,-0.3786,-0.2571,1.9530,1.2118,-1.2531,-0.3558,-0.4191,-0.3116,5.0437,-2.5236,-3.8440,-0.6016,-0.8391,-0.2799
4340.4010,0.0071,-1.5659,-0.0192,-1.5786,-0.0180,-0.0058,0.0756,0.0432,-0.1846,-0.0841,-0.1825,-0.0634,2.2436,0.8405,-1.1741,-0.3639,-0.4677,-0.2166,1.9675,1.2187,-1.2604,-0.3580,-0.4232,-0.3132,5.0438,-2.5044,-3.7874,-0.5963,-0.8409,-0.2799
4340.4130,0.0081,-1.5653,-0.0215,-1.5796,-0.0204,-0.0065,0.0883,0.0461,-0.1980,-0.0912,-0.2072,-0.0639,1.8867,0.9308,-1.2710,-0.4089,-0.3827,-0.2719,1.9849,1.2275,-1.2685,-0.3607,-0.4280,-0.3152,5.0439,-2.4756,-3.7136,-0.5895,-0.8434,-0.2799
4340.4230,0.0090,-1.5648,-0.0236,-1.5805,-0.0225,-0.0072,0.0938,0.0499,-0.2101,-0.1006,-0.2193,-0.0663,1.7079,0.8938,-1.1565,-0.3846,-0.3408,-0.2831,1.9995,1.2355,-1.2743,-0.3628,-0.4321,-0.3169,5.0441,-2.4445,-3.6436,-0.5828,-0.8457,-0.2799
4340.4350,0.0101,-1.5642,-0.0262,-1.5818,-0.0253,-0.0081,0.1008,0.0524,-0.2231,-0.1097,-0.2329,-0.0735,2.0098,0.9214,-1.2170,-0.3530,-0.4020,-0.3073,2.0169,1.2453,-1.2810,-0.3654,-0.4370,-0.3189,5.0444,-2.4034,-3.5557,-0.5747,-0.8486,-0.2799
4340.4450,0.0112,-1.5637,-0.0286,-1.5829,-0.0277,-0.0088,0.1099,0.0540,-0.2375,-0.1174,-0.2473,-0.0805,2.0015,0.9941,-1.0386,-0.3683,-0.4254,-0.3160,2.0314,1.2532,-1.2864,-0.3674,-0.4411,-0.3205,5.0446,-2.3729,-3.4806,-0.5675,-0.8512,-0.2799
